Id_bien;No_voie;Type_de_voie;Voie;Section;No_plan;Premier_Lot;Surface_Carrez_du_1er_Lot;Nombre_de_lots;Type_local;Surface_reelle_bati;Nb_piece_principale;Nature_culture;Nature_culture_speciale;Surface_terrain;CodeComm_CodeDep
93;57;ALL;DU VEXIN;AB;18;31;90,07;1;Maison;93;5;;;;95388
94;9004;RES;LES LIGNIERES;BV;297;544;57,1;2;Appartement;56;3;;;;95607
95;9;RUE;NEUVE;AB;85;4;41,82;1;Appartement;47;1;;;;01262
96;27;RUE;FERNAND THUILLART;AS;122;13;165,11;4;Appartement;156;6;;;;02408
97;2;RUE;DENAIN;AP;54;3;124,01;3;Appartement;77;3;;;;03190
98;7052;RES;LES CHENEVRIERS;D;774;46;24,32;1;Appartement;25;1;;;;04073
99;7102;PL;DE L ENGIEN;G;353;1;106,43;3;Appartement;133;4;;;;04166
100;9002;PL;DU DOCTEUR ROBERT;AS;442;9;32,89;1;Appartement;33;1;;;;04209
101;15;AV;NIQUET;BS;105;24;37,66;1;Appartement;41;2;;;;06004
102;7;CHE;DE SAINT LAURENT;CH;151;129;58,42;1;Appartement;58;3;;;;06027
103;8;RUE;ROSSINI;LA;312;19;99,04;2;Appartement;98;4;;;;06088
104;27;RUE;LAMARTINE;LB;299;33;30,2;1;Appartement;95;3;;;;06088
105;4;AV;VALROSE;LP;2;24;68,75;2;Appartement;68;3;;;;06088
106;15;AV;VICTOR CAUVIN;AR;212;167;56,05;1;Appartement;58;2;;;;06159
107;5;IMP;DU CHANT DE L ALOUETTE;BN;661;12;55,5;1;Appartement;52;3;;;;10323
108;5279;RUE;DU 14 JUILLET;AK;279;71;53,09;1;Appartement;51;3;;;;13119
109;55;RUE;FRANCIS DAVSO;B;175;8;48,24;1;Appartement;50;2;;;;13201
110;9;RUE;BOSCARY;M;99;1;28,4;1;Appartement;30;1;;;;13204
111;9;RUE;CRUDERE;A;46;14;51,01;1;Appartement;51;3;;;;13206
112;13;BD;GUSTAVE GANAY;Z;135;217;51,54;1;Appartement;52;3;;;;13209
