Id_ventes;No_disposition;Date_mutation;Nature_mutation;Valeur_fonciere;Id_refbien
230;1;03/01/2020;Vente;255680;230
231;1;03/01/2020;Vente;244000;231
232;1;03/01/2020;Vente;435000;232
233;1;03/01/2020;Vente;254000;233
234;1;03/01/2020;Vente;284984;234
235;1;03/01/2020;Vente;302000;235
236;1;03/01/2020;Vente;548000;236
237;1;03/01/2020;Vente;877100;237
238;1;03/01/2020;Vente;213615;238
239;1;03/01/2020;Vente;300800;239
240;1;03/01/2020;Vente;857950;240
241;1;03/01/2020;Vente;380000;241
242;1;03/01/2020;Vente;318700;242
243;1;03/01/2020;Vente;256760;243
244;1;03/01/2020;Vente;291262;244
245;1;03/01/2020;Vente;161320;245
246;1;03/01/2020;Vente;164000;246
247;1;03/01/2020;Vente;662300;247
248;1;03/01/2020;Vente;227600;248
249;1;03/01/2020;Vente;312450;249
250;1;03/01/2020;Vente;348450;250
251;1;03/01/2020;Vente;298333;251
252;1;03/01/2020;Vente;326200;252
253;1;03/01/2020;Vente;349000;253
254;1;03/01/2020;Vente;43000;254
255;1;03/01/2020;Vente;192000;255
256;1;03/01/2020;Vente;142100;256
257;1;03/01/2020;Vente;572000;257
258;1;03/01/2020;Vente;130000;258
259;1;03/01/2020;Vente;134000;259
260;1;03/01/2020;Vente;209000;260
261;1;03/01/2020;Vente;378850;261
262;1;03/01/2020;Vente;440425;262
263;1;03/01/2020;Vente;331000;263
264;1;03/01/2020;Vente;410370;264
265;1;03/01/2020;Vente;145000;265
266;1;03/01/2020;Vente;218000;266
267;1;03/01/2020;Vente;269000;267
268;1;03/01/2020;Vente;374675;268
269;1;03/01/2020;Vente;163000;269
270;1;03/01/2020;Vente;224500;270
271;1;03/01/2020;Vente;159000;271
272;1;03/01/2020;Vente;195600;272
273;1;03/01/2020;Vente;240000;273
274;1;03/01/2020;Vente;174000;274
275;1;04/01/2020;Vente;84000;275
276;1;04/01/2020;Vente;76100;276
277;1;04/01/2020;Vente;67750;277
278;1;04/01/2020;Vente;75200;278
279;1;04/01/2020;Vente;176000;279
280;1;04/01/2020;Vente;123000;280
281;1;04/01/2020;Vente;87900;281
282;1;04/01/2020;Vente;57200;282
283;1;04/01/2020;Vente;74000;283
284;1;06/01/2020;Vente;285000;284
285;1;06/01/2020;Vente;429250;285
286;1;06/01/2020;Vente;196000;286
287;1;06/01/2020;Vente;443000;287
288;1;06/01/2020;Vente;170000;288
289;1;06/01/2020;Vente;128600;289
290;1;06/01/2020;Vente;81000;290
291;1;06/01/2020;Vente;335000;291
292;1;06/01/2020;Vente;212200;292
293;1;06/01/2020;Vente;643815;293
294;1;06/01/2020;Vente;113200;294
295;1;06/01/2020;Vente;88000;295
296;1;06/01/2020;Vente;99500;296
297;1;06/01/2020;Vente;90000;297
298;1;06/01/2020;Vente;68600;298
299;1;06/01/2020;Vente;52000;299
300;1;06/01/2020;Vente;207500;300
301;1;06/01/2020;Vente;237000;301
302;1;06/01/2020;Vente;72200;302
303;1;06/01/2020;Vente;318000;303
304;1;06/01/2020;Vente;330850;304
305;1;06/01/2020;Vente;144950;305
306;1;06/01/2020;Vente;144000;306
307;1;06/01/2020;Vente;82000;307
308;1;06/01/2020;Vente;298000;308
309;1;06/01/2020;Vente;91000;309
310;1;06/01/2020;Vente;265000;310
311;1;06/01/2020;Vente;197000;311
312;1;06/01/2020;Vente;375000;312
313;1;06/01/2020;Vente;104000;313
314;1;06/01/2020;Vente;173000;314
315;1;06/01/2020;Vente;275000;315
316;1;06/01/2020;Vente;160000;316
317;1;06/01/2020;Vente;110000;317
318;1;06/01/2020;Vente;53900;318
319;1;06/01/2020;Vente;206300;319
320;1;06/01/2020;Vente;72000;320
321;1;06/01/2020;Vente;188900;321
322;1;06/01/2020;Vente;65000;322
323;1;06/01/2020;Vente;149500;323
324;1;06/01/2020;Vente;150900;324
325;1;06/01/2020;Vente;90000;325
326;1;06/01/2020;Vente;106000;326
327;1;06/01/2020;Vente;86000;327
328;1;06/01/2020;Vente;46000;328
329;1;06/01/2020;Vente;72000;329
330;1;06/01/2020;Vente;88000;330
331;1;06/01/2020;Vente;137000;331
332;1;06/01/2020;Vente;360000;332
333;1;06/01/2020;Vente;33000;333
334;1;06/01/2020;Vente;122450;334
335;1;06/01/2020;Vente;99750;335
336;1;06/01/2020;Vente;153300;336
337;1;06/01/2020;Vente;172950;337
338;1;06/01/2020;Vente;71530;338
